Species Name,Light Tolerance,Migratory Status
cuckoo sp. (Cuculidae),Tolerant,Resident
woodpecker sp.,Sensitive,Resident
drongo sp.,Sensitive,Resident
Streaked Shearwater,Sensitive,Migratory
fruit-dove sp.,Sensitive,Resident
Mongolian Gull,Tolerant,Migratory
Hooded Crane,Sensitive,Migratory
Bar-headed Goose,Sensitive,Migratory
Asian Dowitcher,Sensitive,Migratory
Japanese Night Heron,Sensitive,Migratory
Rusty-flanked Jungle Flycatcher,Sensitive,Migratory
Forest Wagtail,Sensitive,Migratory
bird sp.,Tolerant,Resident
Black-tailed Gull,Tolerant,Migratory
minivet sp.,Sensitive,Resident
Palawan Cuckoo-Dove,Sensitive,Resident
Palawan Striped-Babbler,Sensitive,Resident
Amur Stonechat,Sensitive,Migratory
swamphen sp.,Tolerant,Resident
Streptopelia sp.,Tolerant,Resident
owl sp.,Sensitive,Resident
White Cockatoo,Sensitive,Resident
Cuculus sp.,Sensitive,Migratory
Brown Noddy,Tolerant,Resident
Spotted Kestrel,Tolerant,Resident
Mindanao Jungle Flycatcher,Sensitive,Resident
Wedge-tailed Shearwater,Tolerant,Resident
Slaty-breasted Rail,Sensitive,Resident
Black Noddy,Tolerant,Resident
Bridled Tern,Tolerant,Resident
small plover sp.,Sensitive,Migratory
Cacomantis sp.,Tolerant,Resident
Black-tailed Godwit,Sensitive,Migratory
curlew sp.,Sensitive,Migratory
godwit sp.,Sensitive,Migratory
Tibetan Sand-Plover,Sensitive,Migratory
Sooty Tern,Sensitive,Migratory
Sooty/Bridled Tern,Tolerant,Resident
cuckooshrike sp.,Sensitive,Resident
Oriental Plover,Sensitive,Migratory
nightjar sp.,Sensitive,Resident
golden-plover sp.,Sensitive,Migratory
Narcissus Flycatcher,Sensitive,Migratory
Pied Avocet,Sensitive,Migratory
white-eye sp.,Tolerant,Resident
Red-necked Phalarope,Sensitive,Migratory
Large Hawk-Cuckoo,Sensitive,Migratory
Ferruginous Flycatcher,Sensitive,Migratory
Little Stint,Sensitive,Migratory
Vega Gull,Tolerant,Migratory
Black Kite,Tolerant,Migratory
Eurasian Siskin,Sensitive,Migratory
Glossy Ibis,Sensitive,Migratory
Lesser Black-backed Gull,Tolerant,Migratory
Dark-sided Flycatcher,Sensitive,Migratory
jaeger sp.,Sensitive,Migratory
Common Ringed Plover,Sensitive,Migratory
Greater Scaup,Sensitive,Migratory
